Peak_ID,Intensity_171130-18_DN-Sampling-blank08-17-A1,Intensity_171130-19_DN-Sampling-blank08-17-A2,Intensity_171130-20_DN-Sampling-blank08-17-A4,Intensity_171123-16_DN46_Augsburg_UPS,Intensity_171123-17_DN34_Augsburg-Havarie_UPS,Intensity_171123-18_DN31_Amstetten_UPS,Intensity_171123-19_DN28_Brno_UPS,Intensity_171123-20_DN25_Zilina_UPS,Intensity_171123-21_DN22_Krsko_UPS,Intensity_171123-22_DN19_Budapest_UPS,Intensity_171123-23_DN16_Ljubljana_UPS,Intensity_171123-24_DN13_Zagreb_UPS,Intensity_171123-25_DN10_Varazdin_UPS,Intensity_171123-25_DN10_Varaždin_UPS,Intensity_171123-26_DN07_Sabac_UPS,Intensity_171123-27_DN04_Napoca_UPS,Intensity_171123-28_DN01_Bucharest_UPS,Intensity_171123-33_DN48_Augsburg_DS,Intensity_171123-34_DN36_Augsburg-Havarie_DS,Intensity_171123-35_DN33_Amstetten_DS,Intensity_171123-36_DN30_Brno_DS,Intensity_171123-37_DN27_Zilina_DS,Intensity_171123-38_DN24_Krsko_DS,Intensity_171123-39_DN21_Budapest_DS,Intensity_171123-40_DN18_Ljubljana_DS,Intensity_171123-41_DN15_Zagreb_DS,Intensity_171123-42_DN09_Sabac_DS,Intensity_171123-43_DN06_Napoca_DS,Intensity_171123-44_DN03_Bucharest_DS,Intensity_171130-21_DN02_Bucharest_WWTP,Intensity_171130-22_DN05_Napoca_WWTP,Intensity_171130-23_DN08_Sabac_WWTP,Intensity_171130-24_DN11_Varazdin_WWTP,Intensity_171130-25_DN14_Zagreb_WWTP,Intensity_171130-26_DN17_Ljubljana_WWTP,Intensity_171130-27_DN20_Budapest_WWTP,Intensity_171130-28_DN23_Krsko_WWTP,Intensity_171130-29_DN26_Zilina_WWTP,Intensity_171130-30_DN29_Brno_WWTP,Intensity_171130-31_DN32_Amstetten_WWTP,Intensity_171130-32_DN35_Augsburg-Havarie_WWTP,Intensity_171130-33_DN47_Augsburg_WWTP
100.0242@0044,0.0,0.0,0.0,182957.0,177481.3359375,447132.12890625,0.0,177110.7109375,213514.65625,0.0,302822.52734375,262626.0,179245.21875,302990.7109375,0.0,93122.78515625,76802.08203125,318145.328125,234201.69921875,344406.0,0.0,0.0,359547.0,389103.0,0.0,0.0,390440.26953125,21628.548828125,29163.083984375,28425.421875,42900.068359375,253489.41015625,360060.365234375,238235.17578125,126310.0390625,228985.490234375,77776.8203125,144509.0,82283.748046875,238695.984375,106005.12109375,258834.322265625
100.0298@0023,0.0,0.0,0.0,920846.0,2971257.89648438,2354093.60546875,595191.0,815437.0,701761.0,673914.0,1665166.0,673379.0,3361327.36328125,1282917.0,2332399.07226562,364569.0,742810.0,0.0,1266703.0,702053.0,0.0,1467981.66015625,1517195.0,850961.0,1528249.0,680934.0,2067709.87890625,395728.0,480780.0,0.0,260563.0,865522.0,877279.0,571348.0,2052740.55273437,612801.0,450415.0,2032088.2578125,0.0,768428.0,753099.0,589284.0
100.0298@0036,0.0,0.0,0.0,0.0,932368.17578125,843642.90234375,392801.01171875,630480.6953125,344727.0,805166.09375,1100179.66796875,548467.14453125,385987.0,411653.0,673045.7578125,0.0,331503.2734375,572425.60546875,1066174.72265625,1263623.41796875,0.0,401198.0,813630.140625,824374.515625,825140.6484375,386287.8828125,0.0,205398.982421875,97084.267578125,290865.259765625,25450.58984375,633908.0546875,312696.0,126572.142578125,208211.77734375,425379.65234375,137043.279296875,638306.30859375,183573.72265625,268767.353515625,792557.92578125,550538.84765625
100.0392@0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390288.0,249654.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0424@0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0473@0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0637@0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0756@0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0756@0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57849269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43855236.625,0.0,0.0,0.0,0.0,329914261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712774872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0757@1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27096170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
